session_date,completed_symbol_days,represented_seconds,gate_valid_seconds,gate_pass_seconds,gate_fail_seconds,gate_unavailable_seconds,active_stock_hours,gate_pass_share_represented,gate_pass_share_valid
2026-03-09,47,2707200,2669833,465853,2203980,37367,129.4036111,0.172079270095,0.174487692676
2026-03-10,54,3110400,3020649,370060,2650589,89751,102.7944444,0.11897505144,0.12251009634
2026-03-11,40,2304000,2223927,304871,1919056,80073,84.68638889,0.132322482639,0.137086783874
2026-03-12,48,2764800,2686656,305239,2381417,78144,84.78861111,0.110401837384,0.113612982086
2026-03-13,38,2188800,2140487,230488,1909999,48313,64.02444444,0.105303362573,0.107680168111
2026-03-16,32,1843200,1784644,208543,1576101,58556,57.92861111,0.113141818576,0.116854117684
2026-03-17,35,2016000,1922410,238749,1683661,93590,66.31916667,0.118427083333,0.124192549976
2026-03-18,33,1900800,1866799,216064,1650735,34001,60.01777778,0.11367003367,0.115740366263
2026-03-19,36,2073600,2050305,277815,1772490,23295,77.17083333,0.133977141204,0.135499352535
2026-03-20,24,1382400,1377155,189512,1187643,5245,52.64222222,0.13708912037,0.137611234756
2026-03-23,58,3340800,3331665,701837,2629828,9135,194.9547222,0.210080519636,0.210656533595
2026-03-24,30,1728000,1612879,205047,1407832,115121,56.9575,0.118661458333,0.127131049508
2026-03-25,37,2131200,2076015,239537,1836478,55185,66.53805556,0.112395364114,0.115383077675
2026-03-26,29,1670400,1644543,173068,1471475,25857,48.07444444,0.103608716475,0.1052377469
2026-03-27,31,1785600,1748048,246421,1501627,37552,68.45027778,0.138004592294,0.140969241119
2026-03-30,29,1670400,1658852,240954,1417898,11548,66.93166667,0.144249281609,0.145253464444
2026-03-31,33,1900800,1865104,265779,1599325,35696,73.8275,0.139824810606,0.142500900754
2026-04-01,19,1094400,1068996,168003,900993,25404,46.6675,0.153511513158,0.15715961519
2026-04-02,27,1555200,1524046,305566,1218480,31154,84.87944444,0.196480195473,0.200496572938
2026-04-06,39,2246400,2218107,276718,1941389,28293,76.86611111,0.12318287037,0.124754125928
2026-04-07,31,1785600,1734478,263463,1471015,51122,73.18416667,0.147548723118,0.151897573795
2026-04-08,36,2073600,2017162,299722,1717440,56438,83.25611111,0.144541859568,0.148585983674
2026-04-09,39,2246400,2220989,384012,1836977,25411,106.67,0.170945512821,0.172901351605
2026-04-10,41,2361600,2331200,357306,1973894,30400,99.25166667,0.151298272358,0.153271276596
2026-04-13,37,2131200,2090396,273351,1817045,40804,75.93083333,0.128261542793,0.130765175594
2026-04-14,30,1728000,1706447,271431,1435016,21553,75.3975,0.157078125,0.159062074591
2026-04-15,37,2131200,2078634,308511,1770123,52566,85.6975,0.144759290541,0.148420068179
2026-04-16,42,2419200,2369694,308204,2061490,49506,85.61222222,0.127399140212,0.130060674501
2026-04-17,32,1843200,1780311,282991,1497320,62889,78.60861111,0.153532443576,0.158955935227
2026-04-20,41,2361600,2321407,333182,1988225,40193,92.55055556,0.141083163957,0.143525887533
2026-04-21,42,2419200,2371654,327496,2044158,47546,90.97111111,0.135373677249,0.138087596251
2026-04-22,51,2937600,2872145,360631,2511514,65455,100.1752778,0.122763820806,0.125561557651
2026-04-23,30,1728000,1694598,365907,1328691,33402,101.6408333,0.211751736111,0.215925546944
2026-04-24,29,1670400,1616190,260602,1355588,54210,72.38944444,0.156011733716,0.161244655641
2026-04-27,44,2534400,2518613,315814,2202799,15787,87.72611111,0.124610953283,0.125392031249
2026-04-28,34,1958400,1921912,309982,1611930,36488,86.10611111,0.158283292484,0.161288342026
2026-04-29,32,1843200,1795387,309219,1486168,47813,85.89416667,0.167762044271,0.172229719832
2026-04-30,35,2016000,1957215,299177,1658038,58785,83.10472222,0.148401289683,0.152858526018
2026-05-01,33,1900800,1765262,227545,1537717,135538,63.20694444,0.119710122054,0.128901545493
2026-05-04,33,1900800,1878674,272320,1606354,22126,75.64444444,0.143265993266,0.14495330217
2026-05-05,45,2592000,2557907,436661,2121246,34093,121.2947222,0.168464891975,0.170710272109
2026-05-06,46,2649600,2595938,416586,2179352,53662,115.7183333,0.157225996377,0.160476097657
2026-05-07,51,2937600,2897835,458776,2439059,39765,127.4377778,0.156173747277,0.158316812379
2026-05-08,32,1843200,1808444,232037,1576407,34756,64.45472222,0.12588812934,0.12830753952
2026-05-11,47,2707200,2643657,517363,2126294,63543,143.7119444,0.191106309102,0.19569974471
2026-05-12,45,2592000,2575041,318484,2256557,16959,88.46777778,0.12287191358,0.123681137504
2026-05-13,36,2073600,2043717,335107,1708610,29883,93.08527778,0.161606385031,0.163969375408
2026-05-14,33,1900800,1855213,372879,1482334,45587,103.5775,0.196169507576,0.200989859385
2026-05-15,40,2304000,2260952,410604,1850348,43048,114.0566667,0.178213541667,0.181606686033
2026-05-18,37,2131200,2128462,355080,1773382,2738,98.63333333,0.16661036036,0.166824683739
2026-05-19,41,2361600,2304425,334318,1970107,57175,92.86611111,0.141564193767,0.145076537531
2026-05-20,49,2822400,2779859,400277,2379582,42541,111.1880556,0.141821499433,0.143991835557
2026-05-21,45,2592000,2547081,422890,2124191,44919,117.4694444,0.163152006173,0.166029270369
2026-05-22,34,1958400,1931152,315818,1615334,27248,87.72722222,0.161263276144,0.163538654648
2026-05-26,48,2764800,2751213,541732,2209481,13587,150.4811111,0.195938946759,0.196906600834
2026-05-27,50,2880000,2855451,563975,2291476,24549,156.6597222,0.195824652778,0.197508204483
2026-05-28,49,2822400,2779166,476999,2302167,43234,132.4997222,0.169004747732,0.17163386426
2026-05-29,46,2649600,2566738,412867,2153871,82862,114.6852778,0.155822388285,0.160852802273
2026-06-01,59,3398400,3344596,460439,2884157,53804,127.8997222,0.135486993879,0.137666552253
2026-06-02,59,3398400,3383736,591236,2792500,14664,164.2322222,0.173974811676,0.174728761345
2026-06-03,52,2995200,2965202,515754,2449448,29998,143.265,0.172193509615,0.173935536264
2026-06-04,57,3283200,3197241,422126,2775115,85959,117.2572222,0.128571515595,0.132028208071
2026-06-05,59,3398400,3274734,459779,2814955,123666,127.7163889,0.13529278484,0.140401937989
2026-06-08,76,4377600,4202155,343467,3858688,175445,95.4075,0.0784601151316,0.0817359188321
2026-06-09,71,4089600,4033178,374597,3658581,56422,104.0547222,0.0915974667449,0.0928788662439
2026-06-10,66,3801600,3688922,389835,3299087,112678,108.2875,0.102544981061,0.105677214102
2026-06-11,72,4147200,4075618,413800,3661818,71582,114.9444444,0.0997781635802,0.101530614498
2026-06-12,43,2476800,2392499,304406,2088093,84301,84.55722222,0.122902939276,0.127233491007
2026-06-15,56,3225600,3214562,499986,2714576,11038,138.885,0.155005580357,0.155537830659
2026-06-16,59,3398400,3367331,490031,2877300,31069,136.1197222,0.144194620998,0.145525046394
2026-06-17,54,3110400,3080487,454654,2625833,29913,126.2927778,0.146172196502,0.147591598341
2026-06-18,45,2592000,2484921,407006,2077915,107079,113.0572222,0.157023919753,0.16379031768
2026-06-22,41,2361600,2323943,453151,1870792,37657,125.8752778,0.191883045393,0.194992304028
2026-06-23,56,3225600,3178225,517770,2660455,47375,143.825,0.160518973214,0.162911688128
2026-06-24,48,2764800,2732845,398398,2334447,31955,110.6661111,0.144096498843,0.145781410947
2026-06-25,39,2246400,2188516,314504,1874012,57884,87.36222222,0.140003561254,0.143706511627
2026-06-26,32,1843200,1773040,266562,1506478,70160,74.045,0.144619140625,0.150341785859
2026-06-29,51,2937600,2847520,331089,2516431,90080,91.96916667,0.112707312092,0.116272756644
2026-06-30,43,2476800,2393500,459811,1933689,83300,127.7252778,0.185647206072,0.192108209735
2026-07-01,43,2476800,2397412,342400,2055012,79388,95.11111111,0.138242894057,0.142820674961
2026-07-02,46,2649600,2595109,337410,2257699,54491,93.725,0.12734375,0.130017660145
2026-07-06,46,2649600,2602272,296353,2305919,47328,82.32027778,0.111848203502,0.113882407373
2026-07-07,47,2707200,2618057,276119,2341938,89143,76.69972222,0.101994311466,0.105467146055
2026-07-08,34,1958400,1908496,249662,1658834,49904,69.35055556,0.127482638889,0.130816098121
2026-07-09,38,2188800,2164471,287160,1877311,24329,79.76666667,0.131195175439,0.13266983018
2026-07-10,33,1900800,1837551,242816,1594735,63249,67.44888889,0.127744107744,0.132141094315
2026-07-13,42,2419200,2400391,357563,2042828,18809,99.32305556,0.147802166005,0.148960315215
2026-07-14,48,2764800,2707599,329620,2377979,57201,91.56111111,0.119220196759,0.121738854239
2026-07-15,33,1900800,1862137,271334,1590803,38663,75.37055556,0.14274726431,0.145711083556
2026-07-16,31,1785600,1745053,304356,1440697,40547,84.54333333,0.170450268817,0.174410748556
2026-07-17,29,1670400,1597193,163427,1433766,73207,45.39638889,0.0978370450192,0.10232138508
2026-07-20,36,2073600,2047207,254222,1792985,26393,70.61722222,0.122599344136,0.124179919275
2026-07-21,41,2361600,2308576,225252,2083324,53024,62.57,0.095381097561,0.0975718364914
2026-07-22,44,2534400,2504497,308845,2195652,29903,85.79027778,0.121861190025,0.123316178857
2026-07-23,27,1555200,1540553,214018,1326535,14647,59.44944444,0.137614454733,0.138922841343
2026-07-24,37,2131200,2088432,244362,1844070,42768,67.87833333,0.114659346847,0.117007400768
2026-07-27,33,1900800,1888353,348734,1539619,12447,96.87055556,0.183466961279,0.184676276099
2026-07-28,43,2476800,2421434,336981,2084453,55366,93.60583333,0.13605499031,0.139165882696
2026-07-29,33,1900800,1881991,361032,1520959,18809,100.2866667,0.189936868687,0.1918351363
2026-07-30,33,1900800,1889415,348270,1541145,11385,96.74166667,0.183222853535,0.184326894833
2026-07-31,53,3052800,3024278,448685,2575593,28522,124.6347222,0.146974908281,0.148361030302
2026-08-03,48,2764800,2706734,472468,2234266,58066,131.2411111,0.170886863426,0.174552800534
2026-08-04,53,3052800,2960646,526397,2434249,92154,146.2213889,0.172430883124,0.177798021108
2026-08-05,55,3168000,3101558,676482,2425076,66442,187.9116667,0.213535984848,0.218110381944
2026-08-06,52,2995200,2961981,656737,2305244,33219,182.4269444,0.21926315438,0.221722219015
2026-08-07,48,2764800,2706005,445083,2260922,58795,123.6341667,0.160981987847,0.164479740429
